Image,Kernel,Implementation,Time
3072,3,"SExtractor::BgDFTConvolutionImageSource",6776580604
3072,5,"SExtractor::BgConvolutionImageSource",4623079531
3072,5,"SExtractor::BgDFTConvolutionImageSource",3782032858
3072,7,"SExtractor::BgConvolutionImageSource",8436516950
3072,7,"SExtractor::BgDFTConvolutionImageSource",3944845061
3072,9,"SExtractor::BgConvolutionImageSource",14540681407
3072,9,"SExtractor::BgDFTConvolutionImageSource",3828958672
3072,11,"SExtractor::BgConvolutionImageSource",20194357415
3072,11,"SExtractor::BgDFTConvolutionImageSource",3701147611
3072,13,"SExtractor::BgConvolutionImageSource",28162573302
3072,13,"SExtractor::BgDFTConvolutionImageSource",4211054813
3072,15,"SExtractor::BgConvolutionImageSource",38120355896
3072,15,"SExtractor::BgDFTConvolutionImageSource",4197205333
3072,17,"SExtractor::BgConvolutionImageSource",48687730222
3072,17,"SExtractor::BgDFTConvolutionImageSource",3678462278
3328,3,"SExtractor::BgConvolutionImageSource",1934395760
3328,3,"SExtractor::BgDFTConvolutionImageSource",4483958169
3328,5,"SExtractor::BgConvolutionImageSource",5513797015
3328,5,"SExtractor::BgDFTConvolutionImageSource",3937899943
3328,7,"SExtractor::BgConvolutionImageSource",10701978512
3328,7,"SExtractor::BgDFTConvolutionImageSource",4462803045
3328,9,"SExtractor::BgConvolutionImageSource",17928034090
3328,9,"SExtractor::BgDFTConvolutionImageSource",4564235161
3328,11,"SExtractor::BgConvolutionImageSource",25823914575
3328,11,"SExtractor::BgDFTConvolutionImageSource",4804294893
3328,13,"SExtractor::BgConvolutionImageSource",36035232000
3328,13,"SExtractor::BgDFTConvolutionImageSource",4554715774
3328,15,"SExtractor::BgConvolutionImageSource",47322748903
3328,15,"SExtractor::BgDFTConvolutionImageSource",4472553719
3328,17,"SExtractor::BgConvolutionImageSource",55516994470
3328,17,"SExtractor::BgDFTConvolutionImageSource",3944384243
3584,3,"SExtractor::BgConvolutionImageSource",2230616985
3584,3,"SExtractor::BgDFTConvolutionImageSource",7403770147
3584,5,"SExtractor::BgConvolutionImageSource",5736612688
3584,5,"SExtractor::BgDFTConvolutionImageSource",4755437803
3584,7,"SExtractor::BgConvolutionImageSource",11225992815
3584,7,"SExtractor::BgDFTConvolutionImageSource",4770485077
3584,9,"SExtractor::BgConvolutionImageSource",18529023562
3584,9,"SExtractor::BgDFTConvolutionImageSource",4750848849
3584,11,"SExtractor::BgConvolutionImageSource",27069692201
3584,11,"SExtractor::BgDFTConvolutionImageSource",4786499041
3584,13,"SExtractor::BgConvolutionImageSource",37107333720
3584,13,"SExtractor::BgDFTConvolutionImageSource",4799937686
3584,15,"SExtractor::BgConvolutionImageSource",48949139087
3584,15,"SExtractor::BgDFTConvolutionImageSource",4822384895
3584,17,"SExtractor::BgConvolutionImageSource",62428971778
3584,17,"SExtractor::BgDFTConvolutionImageSource",4766123448
3840,3,"SExtractor::BgConvolutionImageSource",2528905090
3840,3,"SExtractor::BgDFTConvolutionImageSource",5126221346
3840,5,"SExtractor::BgConvolutionImageSource",6683061628
3840,5,"SExtractor::BgDFTConvolutionImageSource",5087585895
3840,7,"SExtractor::BgConvolutionImageSource",12725855373
3840,7,"SExtractor::BgDFTConvolutionImageSource",4944436256
3840,9,"SExtractor::BgConvolutionImageSource",20896516891
3840,9,"SExtractor::BgDFTConvolutionImageSource",5052281172
3840,11,"SExtractor::BgConvolutionImageSource",30834753892
3840,11,"SExtractor::BgDFTConvolutionImageSource",4970472666
3840,13,"SExtractor::BgConvolutionImageSource",41814426792
3840,13,"SExtractor::BgDFTConvolutionImageSource",4904057308
3840,15,"SExtractor::BgConvolutionImageSource",54935616733
3840,15,"SExtractor::BgDFTConvolutionImageSource",4891693029
3840,17,"SExtractor::BgConvolutionImageSource",70407486154
3840,17,"SExtractor::BgDFTConvolutionImageSource",4919244792
4096,3,"SExtractor::BgConvolutionImageSource",2887711726
4096,3,"SExtractor::BgDFTConvolutionImageSource",9828207001
4096,5,"SExtractor::BgConvolutionImageSource",7484026202
4096,5,"SExtractor::BgDFTConvolutionImageSource",6295139237
4096,7,"SExtractor::BgConvolutionImageSource",14697762649
4096,7,"SExtractor::BgDFTConvolutionImageSource",6355662808
4096,9,"SExtractor::BgConvolutionImageSource",24608825177
4096,9,"SExtractor::BgDFTConvolutionImageSource",6370802857
4096,11,"SExtractor::BgConvolutionImageSource",35160640176
4096,11,"SExtractor::BgDFTConvolutionImageSource",6360206550
4096,13,"SExtractor::BgConvolutionImageSource",48267905337
4096,13,"SExtractor::BgDFTConvolutionImageSource",6375453777
4096,15,"SExtractor::BgConvolutionImageSource",63509293828
4096,15,"SExtractor::BgDFTConvolutionImageSource",6440285648
4096,17,"SExtractor::BgConvolutionImageSource",81817633159
4096,17,"SExtractor::BgDFTConvolutionImageSource",6761802012
4352,3,"SExtractor::BgConvolutionImageSource",3301467570
4352,3,"SExtractor::BgDFTConvolutionImageSource",6921045602
4352,5,"SExtractor::BgConvolutionImageSource",8432247486
4352,5,"SExtractor::BgDFTConvolutionImageSource",6727726970
4352,7,"SExtractor::BgConvolutionImageSource",16537214451
4352,7,"SExtractor::BgDFTConvolutionImageSource",6727997848
4352,9,"SExtractor::BgConvolutionImageSource",27290051553
4352,9,"SExtractor::BgDFTConvolutionImageSource",6685125114
4352,11,"SExtractor::BgConvolutionImageSource",39732428843
4352,11,"SExtractor::BgDFTConvolutionImageSource",6725758019
4352,13,"SExtractor::BgConvolutionImageSource",56048825789
4352,13,"SExtractor::BgDFTConvolutionImageSource",7187576283
4352,15,"SExtractor::BgConvolutionImageSource",72517462485
4352,15,"SExtractor::BgDFTConvolutionImageSource",6727160196
4352,17,"SExtractor::BgConvolutionImageSource",92398334323
4352,17,"SExtractor::BgDFTConvolutionImageSource",6715139688
4608,3,"SExtractor::BgConvolutionImageSource",3656615523
4608,3,"SExtractor::BgDFTConvolutionImageSource",15671598420
4608,5,"SExtractor::BgConvolutionImageSource",9494485091
4608,5,"SExtractor::BgDFTConvolutionImageSource",7830486027
4608,7,"SExtractor::BgConvolutionImageSource",20539047855
4608,7,"SExtractor::BgDFTConvolutionImageSource",7804619885
4608,9,"SExtractor::BgConvolutionImageSource",34291913805
4608,9,"SExtractor::BgDFTConvolutionImageSource",7855726416
4608,11,"SExtractor::BgConvolutionImageSource",49800035452
4608,11,"SExtractor::BgDFTConvolutionImageSource",7661353767
